GNames	Control_1	Control_2	Control_3	IL6_1	IL6_2	IL6_3
DPM1	39.4587856970284	55.9182979503905	44.0231961862882	39.9600957350159	59.3541014672957	46.5568836714795
DPM2	13.1830394614045	15.436445463175	14.9695973273012	12.6626678123496	11.9772850528149	12.801670712935
DPM3	6.52223060482784	5.35988468308693	9.13980660909132	6.5489274987254	3.72471990749192	7.92102978848223
DPP10	0	0	0.00751810469033437	0	0	0
DPP3	13.4848910095955	11.1036495102748	15.0838129999679	15.3221615129542	11.6548868891307	16.1658463675692
DPP4	10.2591625116946	17.8245510773991	13.518621630045	15.9399697866511	15.4718076983722	13.7372395563141
DPP6	0.033076912867948	0	0	0	0.0151116687833311	0
DPP7	100.384720983492	40.5209278210099	123.576407120819	92.0245293021054	32.1886051784271	73.613146463782
DPP8	20.5854962891662	20.0400477415798	17.7448785293891	21.3702795811876	21.1933879923615	21.7478821597169
DPP9	26.2621062883705	11.9798899589525	26.4751466820327	25.3502791499512	12.9288355484436	22.2763141772338
DPPA4	0	0	0.013394104048731	0.04536882196575	0.0126151118980424	0
DPRXP4	1.2797714300605	0.772677253699492	0.507916419971685	0.828353431358394	1.11621146060527	0.539488047606983
DPT	0.0445681614653309	0.0269085586557856	0	0	0	0.0295235638315935
DPY19L1	5.47996557377739	12.4241100543598	6.6958770506226	6.07261542474028	10.7662184510634	5.55631776820699
DPY19L2	0.0959026997828073	0.173707193979955	0.0279120736078821	0.147069109322368	0.0788661781480224	0.0254117682667702
DPY19L2P2	0.0589514353246302	0.0474568422258044	0.0476599026813229	0.0753362097604744	0.0987536760812913	0.0130171884061644
DPY19L2P3	0.138290445393315	0.0278315015310284	0.201244234997652	0.378699539944743	0.14742000367665	0.183217196188777
DPY19L2P4	0	0	0	0	0	0
DPY19L3	6.89932741786917	10.1520655771103	9.61940765169171	7.03272792942786	8.84113854863612	8.54049311495407
DPY19L4	3.83871708657404	9.52736496238632	5.38605413308414	4.54039729692523	7.85484981368826	4.67165643291688
DPY30	16.954062881168	16.2955876651355	14.6992422835073	15.5826024359818	16.2481852793645	12.9737241707707
DPYD	33.8051533360101	49.2737065487453	37.7578045028443	46.3561544188825	58.1815496477902	50.6142170433922
